,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value
505,48,2063,484,1054,466,2.2625,13.29
506,35,1872,419,1017,414,2.2106,13.25
507,52,3108,813,1623,765,2.6997,12.69
508,14,7355,2408,3100,2051,4.0018,14.38
509,52,2990,379,947,361,7.8772,50.0001
510,39,2492,310,808,315,11.8603,50.0001
511,42,2991,335,1018,335,13.499,50.0001
512,52,3242,366,1001,352,12.2138,50.0001
513,52,3051,381,1005,369,8.1872,46.61
514,52,3494,396,1192,383,12.3804,50.0001
515,52,1757,246,585,227,5.8948,45.78
516,52,2449,312,916,316,8.1194,47.16
517,52,1611,203,556,179,8.7477,50.0001
518,52,3665,517,1470,520,6.155,39.86
519,52,2474,403,1104,398,5.883,34.07
520,52,3037,516,1242,518,5.2128,28.99
521,52,2269,323,805,321,4.7188,33.53
522,52,1316,177,378,162,5.2915,33.3
523,52,1153,235,481,223,2.6411,24.1
524,52,772,179,409,160,3.3214,18.96
525,52,1711,386,885,373,3.6417,20.63
526,52,2650,566,1468,567,3.0161,21.57
527,52,1038,220,482,215,3.1771,21.02
528,52,1527,320,825,264,3.4531,20.88
529,52,859,157,429,158,4.3098,19.79
530,52,970,217,528,208,3.3438,20.13
531,52,1045,239,496,216,2.9213,19.08
532,52,1408,280,718,265,2.6806,20.79
533,52,1222,264,630,265,3.7708,21.53
534,45,1169,263,723,286,3.9444,21.29
535,13,2020,535,959,486,5.2601,29.27
536,30,4145,869,3668,855,2.5444,27.5
537,42,2038,368,2037,355,2.6447,20
538,29,5154,1394,3741,1273,2.5762,17.34
539,42,1241,309,821,300,1.9427,10.22
540,52,1468,363,870,347,2.9688,22.08
541,27,3997,1073,1901,966,3.75,24.28
542,18,2873,763,1243,663,5.1702,26.54
543,50,1487,306,730,327,2.5139,21.9
544,52,1670,350,793,299,2.9732,28.21
545,52,2252,388,1033,434,5.5337,37.2
546,52,1731,377,872,363,4.1667,22.58
547,52,1710,481,849,457,2.7115,22.08
548,52,2388,559,1121,518,3.3269,23.45
549,52,2156,458,872,445,3.2685,25.42
550,52,1565,315,637,297,4.7778,35.18
551,52,1704,371,663,340,4.226,27.5
552,52,1210,168,411,172,3.3571,40.54
553,52,2097,444,915,413,2.9899,22.81
554,52,1848,479,921,477,2.875,23.4
555,43,955,284,585,266,2.3882,16.25
556,43,4329,1110,2086,1053,2.975,24.34
557,52,3011,542,1303,535,5.1039,27.38
558,52,1049,185,374,176,4.1458,24.85
559,52,2504,516,979,472,3.4762,24.4
560,52,1846,471,827,446,2.6833,24.09
561,52,1705,246,658,253,5.75,30.63
562,50,1542,289,654,268,3.9632,24
563,45,891,155,384,146,4.9489,24.71
564,27,4051,753,1499,797,4.8711,28.66
565,52,2646,581,1128,522,3.0718,26.67
566,49,2428,525,1110,492,3.6719,22.98
567,52,2567,436,1119,415,4.6094,22.93
568,21,7031,1249,2930,1235,4.5213,22.84
569,25,1914,365,897,390,4.4562,20.62
570,5,18634,2885,7427,2718,7.611,35.07
571,31,5785,1379,2973,1312,3.2689,23.1
572,52,2876,648,1340,632,3.567,25.29
573,28,6909,1554,2974,1484,3.6875,35.39
574,23,5679,1270,2690,1151,4.7695,29.17
575,20,1156,365,583,326,3.1972,10
576,12,14316,2045,5781,2007,7.2634,34.16
577,5,3596,467,1738,512,7.0568,41.25
578,36,3541,570,1478,529,4.635,24.86
579,40,1808,302,746,270,5.3015,25.49
580,36,2879,480,1235,455,4.9801,24.15
581,26,3204,477,1411,484,5.4834,29.52
582,31,3866,531,1368,521,6.187,34.04
583,32,2476,368,1048,367,5.6194,27.47
584,35,2211,350,1004,365,5.4639,23.86
585,35,2663,387,1086,367,5.1498,26.64
586,30,2599,366,922,350,5.8382,33.02
587,36,4569,824,1950,819,4.65,20.68
588,25,2973,622,1413,595,4.3819,20.92
589,30,3115,625,1444,568,3.7222,19.58
590,31,1843,282,749,269,5.2855,25.35
591,31,2053,336,867,329,4.3375,24.18
592,27,6740,1073,2723,1035,5.2131,25.25
593,30,1751,269,731,263,6.005,26.39
594,38,1663,295,781,301,5.0519,22.7
595,38,3716,657,1784,652,4.8237,22.09
596,32,2718,447,1156,410,5.2497,25.93
597,39,1420,272,645,277,4.125,23.25
598,37,1893,310,821,315,4.6005,23.16
599,33,3906,790,1912,770,3.5187,20.94
600,32,3400,736,1487,694,3,22.32
601,25,3402,758,1645,710,3.4934,20.99
602,33,4413,1107,2239,1051,2.9861,20.82
603,29,2304,618,1021,552,2.5362,20.38
604,36,2350,499,1105,467,3.3021,19.57
605,31,5914,1309,2999,1295,3.0964,19.05
606,43,1575,324,740,284,2.8512,18.1
607,42,1414,274,629,244,3.3478,18.49
608,37,848,202,314,205,2.3958,19.08
609,15,3051,685,1479,668,3.5295,24.22
610,20,4296,817,1732,800,4.8036,18.83
611,52,2898,557,1338,550,3.851,18.35
612,52,1071,201,440,192,4.0662,20.42
613,51,2619,403,922,393,4.6042,25.19
614,49,1494,316,611,288,2.2,18.75
615,52,2260,416,994,412,4.1164,19.82
616,52,1394,223,545,230,3.95,21.9
617,52,1028,129,317,143,4.9135,27.5
618,45,3758,819,1573,736,2.8355,24.54
619,46,2163,470,925,435,3.25,17.75
620,49,1699,408,768,385,2.8301,17.16
621,52,1555,289,620,292,3.7159,18.33
622,52,1114,206,425,207,2.5625,17.5
623,45,1498,313,1003,305,3.8047,15.67
624,45,726,147,519,135,3.375,15.75
625,38,890,200,481,198,3.244,17.98
626,36,2639,533,1209,519,4.0268,20.55
627,35,2562,554,1398,525,3.3906,17.89
628,36,361,69,158,58,5.5461,26.25
629,42,3008,659,1817,664,3.371,16.5
630,46,1369,284,766,289,3.5313,15.97
631,5,1692,398,814,328,3.663,15.83
632,38,1007,245,618,239,2.875,14.48
633,43,3783,814,2139,789,4.0202,16.63
634,37,1507,242,632,253,4.5553,19.1
635,36,666,132,366,134,3.4643,17.5
636,10,2229,601,877,485,3.3431,13.75
637,28,2215,587,830,573,2.1898,14.17
638,31,1616,372,739,379,2.9097,21.09
639,47,1190,251,540,266,3.375,19.83
640,29,4169,1047,2024,962,2.8125,15.74
641,52,2024,320,823,334,5,26.47
642,38,1723,394,711,353,3.0673,21.84
643,43,2264,390,931,368,3.8125,23.51
644,33,1996,268,686,270,6.9096,34.18
645,26,2862,394,1030,397,7.912,36.73
646,35,2183,383,976,392,3.8393,24.35
647,35,1037,207,552,210,4,16.79
648,25,1134,153,340,171,6.5095,37.12
649,39,786,132,288,132,3.5156,21.89
650,45,1397,253,555,248,2.983,20.27
651,45,2315,451,1006,444,3.524,18.62
652,44,1613,339,776,346,3.1103,18.89
653,44,1421,298,609,270,3.5781,18
654,18,5778,1526,2441,1352,3.1682,20.27
655,27,3094,866,1364,789,2.6101,18.17
656,18,3905,1007,2197,1044,3.6932,16.68
657,43,3046,557,1333,544,3.4583,18.37
658,19,3516,710,1810,703,3.9032,21.8
659,36,998,178,531,183,4.0208,19.15
660,36,1464,244,672,261,3.5547,19.47
661,17,1463,292,695,330,4.5859,18.72
662,21,4124,1054,2162,998,2.6321,22.31
663,17,2380,769,1216,643,3.395,27.13
664,36,1266,228,606,239,3.9702,19.41
665,36,2239,391,1203,379,5.0043,19.04
666,38,1571,317,874,301,4.4659,18.91
667,38,1246,221,637,222,3.6625,18.46
668,36,1501,287,703,276,3.8864,19.73
669,36,1468,252,733,229,3.4583,19.26
670,36,1118,219,625,228,3.7813,19.22
671,36,1097,208,568,225,2.9917,19.46
672,36,1719,303,836,311,4.4375,19.35
673,24,1755,365,952,362,4,20.26
674,16,1687,348,568,352,2.3869,8.33
675,24,2262,391,1125,366,4.7609,21.26
676,5,2087,407,840,401,5.4858,18.78
677,36,1480,278,796,283,4.3971,20.57
678,36,1545,273,863,267,4.0109,19.29
679,35,2632,447,1349,486,4.3864,20.52
680,30,2261,443,929,383,4.2841,21.34
681,39,1670,308,957,335,5.1312,18.36
682,37,2141,535,1093,555,2.9958,17.84
683,27,3337,613,1489,607,3.6364,21.92
684,31,3184,716,1561,628,2.7955,18.31
685,44,2341,500,1256,485,2.9507,15.71
686,30,1197,269,695,279,3.4375,15.78
687,34,1131,278,560,237,2.875,16.17
688,38,1164,284,632,289,3.0345,15.21
689,41,3495,787,1849,750,2.679,14.49
690,17,2488,617,1287,538,2.9922,17.99
691,35,2681,508,1580,536,4.1042,17.91
692,19,2495,635,1571,579,2.5833,15.99
693,23,1689,461,828,443,2.1552,16.14
694,29,1298,306,835,338,2.3274,17.04
695,19,2693,789,1765,724,2.4206,13.75
696,41,746,145,387,161,3.9063,17.84
697,37,2444,651,1562,618,2.6464,15.52
698,42,1472,310,768,309,3.4643,16.09
699,10,2227,560,1140,472,2.3973,16.73
700,20,200,25,83,31,6.5,34
701,32,1283,194,485,171,6.0574,43.1
702,6,2445,590,1189,573,3.8958,30.11
703,21,1307,236,586,249,4.7813,24.19
704,5,3785,936,2240,792,3.2829,16.25
705,10,2031,357,867,352,5.3169,29.92
706,10,8299,1326,3827,1288,6.2579,31.55
707,23,7518,1279,3827,1294,5.1701,21.68
708,36,1815,426,1280,431,3.25,21.81
709,30,5367,1207,2667,1047,3.1796,17.03
710,26,1167,370,253,137,2.4196,27.5
711,26,2607,682,1401,607,2.6563,18.41
712,29,493,168,233,152,0.9637,16
713,48,1252,305,673,308,2.3357,17.5
714,41,1382,353,704,314,3.5114,19.75
715,43,500,110,273,120,3.3125,15
716,29,2333,538,1120,540,2.4042,20.56
717,41,1834,463,1105,467,2.8322,17.03
718,43,1415,348,569,293,2.5156,19.09
719,37,1352,342,691,324,3.4032,19.69
720,37,2116,503,1109,448,2.535,17.4
721,37,1976,481,1197,465,2.5772,17.02
722,38,1779,413,1061,400,3.0962,18.09
723,34,3659,897,2479,903,2.9564,15.05
724,31,1892,428,1162,389,3.125,16.71
725,35,1958,484,1146,448,2.95,14.89
726,40,1553,253,724,267,4.38,19.64
727,37,2412,394,975,375,4.0417,19.11
728,36,2110,389,952,370,3.8,18.75
729,45,2179,401,1159,399,3.4839,18.06
730,45,2457,445,1129,422,4.0588,18.28
731,44,2147,399,1175,401,4.1974,17.93
732,43,1676,340,924,328,3.6,17.94
733,35,2976,518,1424,538,4.267,21.03
734,34,3036,533,1366,500,4.2386,19.23
735,35,2472,398,1171,390,5.5797,19.81
736,36,1487,249,641,243,4.0682,19.62
737,38,2012,347,880,332,3.1734,18.16
738,37,3342,569,1635,557,4.7933,18.69
739,37,3156,534,1495,543,4.8125,18.83
740,40,1748,318,914,317,3.8676,18.4
741,33,3429,681,1798,694,3.9395,18.47
742,42,3592,703,1625,665,3.2434,17.99
743,38,1035,247,599,224,3.0917,16.72
744,32,3028,811,2037,703,3.0645,16.54
745,33,2431,655,1854,603,2.7019,15.4
746,39,2069,500,1408,478,3.1115,15.35
747,40,1340,313,766,271,3.4722,13.54
748,39,1160,259,725,274,2.2222,15.83
749,32,2015,318,1019,340,6.1104,24.07
750,22,3882,816,1830,743,4.2733,18.07
751,27,3239,671,1469,616,3.2465,23.06
752,28,2932,739,1198,624,3.2417,21.08
753,38,2104,409,1039,394,3.875,16.53
754,29,1694,251,690,242,6.0501,25.42
755,18,3000,419,1155,415,6.8233,33.26
756,23,2419,348,1066,384,6.3501,35
757,28,2280,610,1255,587,2.6719,16.12
758,21,5031,1168,2461,1042,3.875,17.93
759,33,1547,372,1063,356,2.5625,15.43
760,31,3300,790,2181,740,3.016,16.18
761,17,5018,1439,3069,1299,2.7694,16.19
762,35,1813,393,1093,374,3.6818,16.54
763,37,1997,436,1349,437,2.1382,16.66
764,37,901,191,599,206,3.7303,14.97
765,35,686,142,480,149,3.875,16.21
766,33,1954,464,1293,448,3.0489,15.26
767,27,2630,722,1414,634,2.8203,19.52
768,35,1130,192,543,184,4.3897,19.06
769,35,1184,200,572,194,4.7143,19.38
770,34,656,115,342,112,4.6875,20.06
771,29,2544,643,2332,603,3.2091,15
772,36,1305,225,768,234,4.275,18.53
773,36,1755,316,913,299,4.1302,17.27
774,35,2843,652,1726,643,3.09,17.41
775,25,2538,494,1185,501,4.5417,19.44
776,28,1784,311,735,278,4.6635,20.67
777,31,1797,327,796,319,4.4427,20.45
778,36,410,76,252,82,4.5303,17.5
779,26,162,27,86,25,2.375,13.75
780,18,9963,2031,5613,1946,3.8171,18.72
781,35,2361,458,1727,467,4.5281,17.36
782,19,862,167,407,183,4.3456,16.3
783,18,4335,808,2041,734,3.4861,33.16
784,31,1487,280,854,301,5.2312,19.76
785,8,3592,849,1907,746,3.6708,19.79
786,40,432,102,264,77,3.8875,22.81
787,34,1457,242,735,249,3.9167,18.95
788,32,1578,284,836,292,3.9063,18.42
789,29,2172,435,1377,408,3.7895,18.09
790,36,1340,245,789,248,3.8,17.2
791,36,1116,199,662,226,5.7309,17.79
792,36,1885,307,853,271,4.1141,17.31
793,36,1180,212,664,200,5.2838,17.26
794,30,5267,1253,4065,1113,3.3479,18.21
795,23,1897,440,1109,418,3.142,17.95
796,31,767,171,548,185,3.7614,17.6
797,33,691,127,431,149,4.25,19.26
798,36,786,133,463,160,3.9338,18.27
799,22,5861,1516,5436,1463,2.5158,13.49
800,27,2784,723,2028,693,2.4808,15.76
801,25,4524,860,2426,862,4.7083,19.09
802,37,1468,304,1038,282,4.1652,15.82
803,20,1655,450,857,430,3.5541,35
804,33,1227,286,848,291,3.8036,15.82
805,33,1160,252,729,220,3.8259,14.61
806,33,952,172,369,159,3.2331,22.67
807,35,2072,352,1001,350,4.7109,19.87
808,32,2964,547,1472,527,4.2468,22.12
809,35,1032,173,453,176,6.396,20.85
810,35,657,118,328,134,3.8125,20.42
811,32,1540,324,793,302,3.2857,19.32
812,35,1298,236,632,204,3.8929,20.95
813,36,1409,271,1002,281,3.7262,16.49
814,37,1383,259,808,241,4.0125,16.14
815,36,1151,216,727,215,4.1719,18.7
816,35,899,179,455,185,4.2857,19.04
817,37,1793,364,1534,346,3.6458,15.66
818,17,2485,518,1139,550,2.6875,15.73
819,35,1931,376,1175,337,3.7292,16.81
820,24,2329,465,1401,453,4.5913,17.76
821,12,6711,1374,3388,1289,3.8625,20.89
822,23,1939,356,841,364,3.3611,16.92
823,16,1642,346,705,351,2.8971,16.39
824,34,1619,293,1148,310,4.0326,16.47
825,35,517,108,391,107,4.0682,15.69
826,36,1570,274,992,249,5.3644,16.88
827,35,1213,221,790,243,4.7019,17.41
828,27,1826,309,1016,313,5.64,20.65
829,26,2261,443,1039,395,3.7931,20.39
830,9,3666,711,2341,703,4.6458,21.7
831,36,1633,345,1382,338,3.694,15.96
832,31,2155,522,1858,437,2.652,15.98
833,32,1295,280,1156,300,3.5,15.43
834,32,1295,295,1097,328,3.2386,14.96
835,33,1518,302,831,268,5.097,18.86
836,17,3314,638,1873,602,4.3875,23.85
837,22,3009,497,1640,514,4.625,23.53
838,6,2605,474,1568,433,5.0406,26.14
839,17,5159,832,3174,817,5.8704,23.44
840,18,1726,276,1186,310,5.3226,23.17
841,16,1816,365,1367,355,4.235,15.63
842,13,2578,551,1680,528,4.825,22.2
843,15,2576,418,1657,410,5.5218,25.44
844,16,1644,251,1033,267,6.5116,24.43
845,16,1606,240,1117,268,6.0661,24.7
846,16,3349,544,2003,488,6.0074,23.65
847,15,3475,686,2568,653,4.6211,15.14
848,16,1893,338,1461,344,5.225,21.37
849,14,1727,302,1116,273,5.3428,24.36
850,15,6243,1273,3163,1274,3.7462,21.25
851,24,2077,383,1488,389,4.5721,21.47
852,18,1165,333,855,319,3.6923,21.32
853,16,4371,889,2530,817,4.6786,25.6
854,2,838,295,240,149,2.875,23.75
855,15,3052,760,2097,728,3.3617,17.81
856,17,4313,717,2629,721,5.7579,23.18
857,36,385,94,295,92,2.9706,14.79
858,10,3046,678,2056,628,3.9022,19.17
859,21,4342,783,2172,789,4.6146,24.76
860,15,3575,597,1777,559,5.7192,28.35
861,20,4126,1031,2079,975,3.6832,21.69
862,31,2878,478,1276,485,6.2073,28.25
863,6,4405,717,2071,688,5.8151,29.56
864,14,16199,2993,8117,2847,5.8322,28.18
865,14,14917,2708,8012,2606,5.6277,26.98
866,12,5719,1064,3436,1057,5.2879,23.12
867,8,8647,1407,5019,1379,6.5615,31.83
868,15,8112,1376,4576,1348,5.6758,25.34
869,7,10648,1818,6075,1797,6.1047,27.82
870,5,1150,311,648,245,3.5714,30
871,3,14014,2861,7205,2753,6.0824,27.35
872,23,4332,857,2461,829,4.3594,22.34
873,35,1716,312,914,316,5.5737,21.45
874,31,4981,964,2841,924,4.8962,22.02
875,24,8444,1492,4446,1491,4.6978,24.03
876,6,3028,778,1531,736,4.4259,15.8
877,26,2068,532,1434,495,3.3008,22.42
878,33,1325,274,909,267,4.5687,17.72
879,24,2563,485,1174,501,3.8179,21.61
880,18,5505,1005,2641,971,5,26.97
881,20,6462,1294,3288,1235,4.3393,23.12
882,4,3746,993,1606,838,4.1387,16.25
883,13,8918,1823,4518,1772,4.8052,25.4
884,31,1949,344,986,322,4.6349,19.62
885,17,4924,1247,3080,1182,3.168,18.94
886,17,5133,1375,3386,1339,3.1326,22.08
887,16,6647,2098,4649,1903,2.9074,21.38
888,15,5674,748,2412,714,8.3996,44.29
889,21,10687,1540,4552,1520,6.6478,33.34
890,25,1354,192,596,220,6.629,35.24
891,27,3715,526,1631,538,6.2179,30.53
892,33,2095,342,941,304,5.761,25.96
893,29,3517,645,1724,585,4.6641,24.89
894,31,2537,382,1067,410,6.7599,35.6
895,14,5106,1207,2738,1108,3.9909,23.6
896,23,2215,475,1278,492,4.2955,21.88
897,28,2949,529,1538,545,4.9615,22.8
898,18,2375,652,1252,586,2.6198,23.59
899,28,2312,496,1344,467,4.7135,20.32
900,35,2277,420,1353,413,4.75,19.7
901,26,2506,387,1273,406,5.4299,23.64
902,28,2829,566,1610,540,4.6,22.32
903,26,3179,703,2142,639,4.1947,22.27
904,26,2332,371,1285,404,5.388,22.5
905,18,3584,715,1673,661,3.9444,24.01
906,28,3046,507,1772,516,5.3283,22.79
907,28,2414,415,1106,453,4.8403,26.86
908,29,4133,744,2023,749,5.1616,27.51
909,34,2791,495,1276,468,4.9167,25.63
910,27,6103,1249,3026,1134,4.1591,33.24
911,32,2572,406,1128,395,5,28.76
912,26,1910,371,852,357,5.8325,29.89
913,27,1890,303,889,314,5.7057,28.76
914,25,5405,939,2831,923,5.0423,22.22
915,26,3761,623,1776,613,4.5317,23.26
916,25,3333,511,1671,504,5.4359,25.83
917,23,4925,948,2530,894,5.0824,23.09
918,33,3994,764,2721,763,5.2308,19.69
919,22,5811,1125,3215,1086,4.4107,22.35
920,26,4211,741,2352,734,5.2396,22.39
921,27,5532,973,2855,960,4.7478,24.35
922,7,28258,3864,12203,3701,8.4045,45.11
923,9,4909,577,1981,591,9.7194,50.0001
924,10,7441,1588,3571,1466,5.1643,19.31
925,23,4314,676,1972,623,5.3813,26.44
926,26,2016,322,1105,357,6.0878,24.69
927,13,5377,744,2759,760,6.868,33.73
928,22,9167,1373,4319,1404,6.992,28.48
929,26,3087,532,1597,483,4.9118,21.73
930,23,3170,532,1446,515,4.4357,29.17
931,26,2145,369,1285,377,4.9464,22.38
932,25,4209,731,2568,703,5.2882,22.31
933,23,4247,835,2357,823,5.1321,21.13
934,25,4458,922,2998,890,3.9667,21.85
935,17,407,97,307,100,3.1696,15.63
936,20,6483,1068,3526,1060,5.0838,24.82
937,35,1867,343,1213,338,4.8214,18.6
938,6,2918,672,1911,639,4.1406,17.82
939,34,2316,478,1524,467,3.7364,19.04
940,31,1240,264,719,236,3.535,21.03
941,16,4458,856,3038,870,5.0739,20.8
942,18,1746,437,1268,404,3.256,18.33
943,19,4572,712,2346,709,6.0667,24.57
944,21,4280,673,2216,681,5.7072,24.22
945,7,6352,1390,3223,1316,4.9867,18.17
946,4,7477,1576,2937,1506,5.1437,29.94
947,22,4638,716,2302,687,5.347,21.95
948,25,4377,668,2038,671,5.7233,23.18
949,26,3816,637,1935,642,4.4697,22.13
950,26,2806,459,1453,444,4.9107,21.38
951,26,4822,845,2288,805,4.2281,20.6
952,15,6473,1027,2484,970,5.0143,27.11
953,6,8072,1050,3386,1062,7.2494,33.65
954,46,1280,209,512,208,5.1406,31.56
955,24,3166,424,1081,400,8.3337,50.0001
956,13,3742,555,1590,559,7.316,28.54
957,18,7397,1137,3126,1115,6.4994,32.3
958,23,1655,223,706,219,7.2211,29.19
959,3,2456,582,793,456,4.4087,22.56
960,23,2179,308,926,299,5.9345,25.96
961,20,1804,254,831,260,6.177,26.29
962,18,3631,547,1700,520,5.817,25.73
963,18,2876,423,1395,427,6.3132,25.92
964,12,7490,1207,3329,1136,6.3373,33.97
965,23,2234,270,854,286,7.333,33.72
966,22,1898,239,734,245,6.2918,33.41
967,16,4070,624,1543,577,6.5214,31.15
968,25,2244,301,937,324,6.4524,29.69
969,20,2948,471,1181,474,6.0604,24.79
970,19,2034,288,852,295,6.5285,30.04
971,15,2130,273,876,285,7.2639,33.24
972,7,9540,1294,3926,1229,7.4353,38.98
973,29,2702,680,1360,642,3.1127,23.3
974,39,522,116,161,102,2.4896,23.85
975,52,775,134,315,123,5.0677,23.33
976,3,1565,464,769,461,2.1187,23.13
977,20,1309,184,514,172,10.9506,47.58
978,13,5519,833,2444,825,7.0691,39.32
979,10,4337,800,1813,743,5.5,24.72
980,28,1812,294,853,278,4.9879,22.94
981,4,4719,741,1895,742,6.8132,28.25
982,14,4236,701,1833,663,5.6399,30.06
983,22,3634,664,1699,640,4.1597,29.32
984,27,1569,242,583,214,5.7519,27.85
985,13,13182,2074,4847,1950,5.6417,35.29
986,43,228,40,83,42,10.3203,40
987,47,127,23,51,21,4.3472,37.5
988,13,9621,1344,4389,1391,6.6827,31.37
989,4,6159,1510,2649,1241,3.62,13.93
990,16,4290,554,1952,576,7.3588,32.75
991,26,1786,306,771,279,5.7239,43.06
992,32,404,74,144,58,4.2083,12.5
993,17,1671,352,729,252,6.1023,45
994,12,5608,1049,2595,1067,3.9864,20.02
995,11,12070,2220,5826,2125,4.8624,19.24
996,25,494,81,254,85,9.1531,41.88
997,22,5533,943,2474,910,4.7361,21.68
998,17,3956,639,2222,662,5.4324,21.55
999,12,1906,351,802,319,4.9375,22.77